SideEffectTerm	SecondLevelMedDRATerm
neutrophil count decreased	Haematology investigations (incl blood groups)
panic reaction	Anxiety disorders and symptoms
torsade de pointes	Cardiac arrhythmias
hyperkeratosis	Cornification and dystrophic skin disorders
hypoglycaemia	Glucose metabolism disorders (incl diabetes mellitus)
nodule	Tissue disorders NEC
hyporeflexia	Neurological disorders NEC
skin hyperpigmentation	Pigmentation disorders
hyponatraemia	Electrolyte and fluid balance conditions
viral infection	Viral infectious disorders
peripheral coldness	General system disorders NEC
peripheral coldness	Arteriosclerosis, stenosis, vascular insufficiency and necrosis
dry skin	Epidermal and dermal conditions
skin papilloma	Viral infectious disorders
skin papilloma	Cutaneous neoplasms benign
injection site reaction	Administration site reactions
somnolence	Sleep disorders and disturbances
somnolence	Neurological disorders NEC
thyroid neoplasm	Thyroid gland disorders
thyroid neoplasm	Endocrine neoplasms malignant and unspecified
hair disorder	Skin appendage conditions
depressed level of consciousness	Neurological disorders NEC
alveolitis allergic	Allergic conditions
alveolitis allergic	Lower respiratory tract disorders (excl obstruction and infection)
basal cell carcinoma	Skin neoplasms malignant and unspecified
disseminated intravascular coagulation	Embolism and thrombosis
disseminated intravascular coagulation	Coagulopathies and bleeding diatheses (excl thrombocytopenic)
hypoxia	Respiratory disorders NEC
loss of consciousness	Neurological disorders NEC
opportunistic infection	Infections - pathogen unspecified
paraesthesia	Neurological disorders NEC
exostosis	Bone disorders (excl congenital and fractures)
nasal congestion	Upper respiratory tract disorders (excl infections)
thrombotic thrombocytopenic purpura	Vascular haemorrhagic disorders
thrombotic thrombocytopenic purpura	Skin vascular abnormalities
thrombotic thrombocytopenic purpura	Platelet disorders
completed suicide	Fatal outcomes
completed suicide	Suicidal and self-injurious behaviours NEC
constipation	Gastrointestinal motility and defaecation conditions
burning sensation	General system disorders NEC
burning sensation	Neurological disorders NEC
nephrolithiasis	Urolithiases
choreoathetosis	Movement disorders (incl parkinsonism)
emphysema	Lower respiratory tract disorders (excl obstruction and infection)
leukoderma	Pigmentation disorders
orchitis noninfective	Male reproductive tract infections and inflammations
lacrimal structural disorder	Anterior eye structural change, deposit and degeneration
bacteraemia	Infections - pathogen unspecified
ventricular extrasystoles	Cardiac arrhythmias
feeling abnormal	General system disorders NEC
pain of skin	Epidermal and dermal conditions
osteoarthritis	Joint disorders
regurgitation	Gastrointestinal signs and symptoms
prothrombin level decreased	Haematology investigations (incl blood groups)
ventricular arrhythmia	Cardiac arrhythmias
hepatitis cholestatic	Hepatic and hepatobiliary disorders
genital candidiasis	Reproductive tract disorders NEC
genital candidiasis	Fungal infectious disorders
peptic ulcer	Gastrointestinal ulceration and perforation
cardiovascular disorder	Cardiac disorder signs and symptoms
cardiovascular disorder	Vascular disorders NEC
mastitis	Breast disorders
mastitis	Infections - pathogen unspecified
tracheitis	Respiratory tract infections
tracheitis	Infections - pathogen unspecified
dyskinesia	Movement disorders (incl parkinsonism)
pyuria	Urinary tract signs and symptoms
pyuria	Infections - pathogen unspecified
anuria	Renal disorders (excl nephropathies)
pharyngitis	Oral soft tissue conditions
pharyngitis	Respiratory tract infections
pharyngitis	Infections - pathogen unspecified
galactorrhoea	Hypothalamus and pituitary gland disorders
galactorrhoea	Breast disorders
cheilitis	Oral soft tissue conditions
cheilitis	Epidermal and dermal conditions
cardiac arrest	Cardiac arrhythmias
ejaculation failure	Sexual function and fertility disorders
colitis	Gastrointestinal inflammatory conditions
anxiety	Anxiety disorders and symptoms
pneumonia	Respiratory tract infections
pneumonia	Infections - pathogen unspecified
hallucination	Disturbances in thinking and perception
bronchitis	Respiratory tract infections
bronchitis	Infections - pathogen unspecified
myositis	Muscle disorders
varicose vein	Venous varices
pleuritic pain	Respiratory tract signs and symptoms
injection site swelling	Administration site reactions
body temperature decreased	Physical examination and organ system status topics
hyperaesthesia	Neurological disorders NEC
scleritis	Immune disorders NEC
scleritis	Ocular infections, irritations and inflammations
application site irritation	Administration site reactions
serotonin syndrome	Muscle disorders
serotonin syndrome	Exposures, chemical injuries and poisoning
serotonin syndrome	Neuromuscular disorders
coordination abnormal	Neurological disorders NEC
irritable bowel syndrome	Somatic symptom and related disorders
irritable bowel syndrome	Gastrointestinal motility and defaecation conditions
skin atrophy	Cornification and dystrophic skin disorders
change of bowel habit	Gastrointestinal motility and defaecation conditions
disturbance in attention	Cognitive and attention disorders and disturbances
disturbance in attention	Mental impairment disorders
ulcer	Tissue disorders NEC
restless legs syndrome	Muscle disorders
restless legs syndrome	Neurological disorders NEC
dry eye	Eye disorders NEC
dermatitis	Epidermal and dermal conditions
optic atrophy	Ocular structural change, deposit and degeneration NEC
bradykinesia	Movement disorders (incl parkinsonism)
haematemesis	Gastrointestinal haemorrhages NEC
haematemesis	Vascular haemorrhagic disorders
hostility	Personality disorders and disturbances in behaviour
endophthalmitis	Infections - pathogen unspecified
endophthalmitis	Ocular infections, irritations and inflammations
chest pain	Respiratory tract signs and symptoms
chest pain	Coronary artery disorders
chest pain	General system disorders NEC
sputum increased	Respiratory disorders NEC
fungal infection	Fungal infectious disorders
hypochloraemia	Electrolyte and fluid balance conditions
conversion disorder	Somatic symptom and related disorders
actinic keratosis	Cornification and dystrophic skin disorders
dermatitis atopic	Epidermal and dermal conditions
dermatitis atopic	Allergic conditions
uterine leiomyoma	Reproductive neoplasms female benign
uterine leiomyoma	Uterine, pelvic and broad ligament disorders
encephalopathy	Encephalopathies
lung infection	Respiratory tract infections
lung infection	Infections - pathogen unspecified
electrocardiogram st segment depression	Cardiac and vascular investigations (excl enzyme tests)
asthenopia	Ocular sensory symptoms NEC
laryngospasm	Upper respiratory tract disorders (excl infections)
angle closure glaucoma	Glaucoma and ocular hypertension
blood creatine phosphokinase increased	Enzyme investigations NEC
breast tenderness	Breast disorders
chromatopsia	Vision disorders
renal failure	Renal disorders (excl nephropathies)
nasopharyngitis	Respiratory tract infections
nasopharyngitis	Infections - pathogen unspecified
foetor hepaticus	Hepatic and hepatobiliary disorders
foetor hepaticus	Gastrointestinal signs and symptoms
cerebral haemorrhage	Central nervous system vascular disorders
cerebral haemorrhage	Vascular haemorrhagic disorders
furuncle	Skin and subcutaneous tissue infections and infestations
furuncle	Bacterial infectious disorders
tension headache	Headaches
laryngitis	Respiratory tract infections
laryngitis	Infections - pathogen unspecified
uterine haemorrhage	Vascular haemorrhagic disorders
uterine haemorrhage	Uterine, pelvic and broad ligament disorders
cholelithiasis	Gallbladder disorders
rhabdomyolysis	Muscle disorders
blood creatinine increased	Renal and urinary tract investigations and urinalyses
hypophosphataemia	Bone, calcium, magnesium and phosphorus metabolism disorders
urine analysis abnormal	Renal and urinary tract investigations and urinalyses
neoplasm	Miscellaneous and site unspecified neoplasms malignant and unspecified
balance disorder	Neurological disorders NEC
erythema	Epidermal and dermal conditions
haemoptysis	Respiratory disorders NEC
haemoptysis	Cardiac disorder signs and symptoms
haemoptysis	Vascular haemorrhagic disorders
tumour lysis syndrome	Electrolyte and fluid balance conditions
tumour lysis syndrome	Neoplasm related morbidities
blood calcium decreased	Water, electrolyte and mineral investigations
herpes zoster	Viral infectious disorders
herpes zoster	Skin and subcutaneous tissue infections and infestations
herpes zoster	Peripheral neuropathies
hypohidrosis	Skin appendage conditions
hypohidrosis	General system disorders NEC
glossitis	Tongue conditions
salivary gland enlargement	Salivary gland conditions
lower respiratory tract infection	Respiratory tract infections
lower respiratory tract infection	Infections - pathogen unspecified
leukocytosis	White blood cell disorders
premenstrual syndrome	Mood disorders and disturbances NEC
premenstrual syndrome	Menstrual cycle and uterine bleeding disorders
gastrointestinal carcinoma	Malignant and unspecified neoplasms gastrointestinal NEC
gastrointestinal carcinoma	Gastrointestinal neoplasms malignant and unspecified
abscess	Infections - pathogen unspecified
sinusitis	Respiratory tract infections
sinusitis	Infections - pathogen unspecified
induration	General system disorders NEC
ejaculation disorder	Sexual function and fertility disorders
connective tissue disorder	Connective tissue disorders (excl congenital)
hot flush	Menopause related conditions
hot flush	Vascular disorders NEC
hot flush	General system disorders NEC
uterine disorder	Uterine, pelvic and broad ligament disorders
application site paraesthesia	Administration site reactions
application site paraesthesia	Neurological disorders NEC
parosmia	Upper respiratory tract disorders (excl infections)
parosmia	Cranial nerve disorders (excl neoplasms)
onychomycosis	Skin and subcutaneous tissue infections and infestations
onychomycosis	Fungal infectious disorders
liver injury	Hepatic and hepatobiliary disorders
liver injury	Injuries NEC
crohn's disease	Immune disorders NEC
crohn's disease	Gastrointestinal inflammatory conditions
urinary incontinence	Urinary tract signs and symptoms
urinary incontinence	Neuromuscular disorders
clostridium difficile colitis	Gastrointestinal infections
clostridium difficile colitis	Bacterial infectious disorders
dyspareunia	Sexual function and fertility disorders
dyspareunia	Sexual dysfunctions, disturbances and gender identity disorders
bronchospasm	Bronchial disorders (excl neoplasms)
bronchospasm	Allergic conditions
stevens-johnson syndrome	Exposures, chemical injuries and poisoning
stevens-johnson syndrome	Epidermal and dermal conditions
stevens-johnson syndrome	Allergic conditions
stevens-johnson syndrome	Ancillary infectious topics
syncope	Cardiac disorder signs and symptoms
syncope	Decreased and nonspecific blood pressure disorders and shock
syncope	Neurological disorders NEC
international normalised ratio increased	Haematology investigations (incl blood groups)
seborrhoeic dermatitis	Epidermal and dermal conditions
pollakiuria	Urinary tract signs and symptoms
colitis ischaemic	Gastrointestinal inflammatory conditions
colitis ischaemic	Arteriosclerosis, stenosis, vascular insufficiency and necrosis
flatulence	Gastrointestinal signs and symptoms
brain oedema	Injuries NEC
brain oedema	Increased intracranial pressure and hydrocephalus
lymphoma	Lymphomas NEC
rosacea	Skin appendage conditions
diplopia	Neurological disorders of the eye
diplopia	Vision disorders
malnutrition	Appetite and general nutritional disorders
anaemia macrocytic	Anaemias nonhaemolytic and marrow depression
anaemia macrocytic	Vitamin related disorders
rhinitis	Respiratory tract infections
rhinitis	Infections - pathogen unspecified
incontinence	Urinary tract signs and symptoms
incontinence	Gastrointestinal signs and symptoms
incontinence	Neuromuscular disorders
hepatocellular injury	Hepatic and hepatobiliary disorders
blood potassium increased	Water, electrolyte and mineral investigations
musculoskeletal stiffness	Musculoskeletal and connective tissue disorders NEC
apraxia	Cognitive and attention disorders and disturbances
apraxia	Neurological disorders NEC
endometrial disorder	Uterine, pelvic and broad ligament disorders
menopause	Age related factors
cardiomyopathy	Myocardial disorders
scab	Epidermal and dermal conditions
cystitis haemorrhagic	Bladder and bladder neck disorders (excl calculi)
loss of libido	Sexual dysfunctions, disturbances and gender identity disorders
urticaria	Angioedema and urticaria
urticaria	Allergic conditions
hypotonia	Muscle disorders
hypotonia	Neuromuscular disorders
cardiac failure	Heart failures
sneezing	Respiratory tract signs and symptoms
ecchymosis	Vascular haemorrhagic disorders
ecchymosis	Coagulopathies and bleeding diatheses (excl thrombocytopenic)
ecchymosis	Skin vascular abnormalities
feeling hot	General system disorders NEC
renal pain	Urinary tract signs and symptoms
abnormal dreams	Sleep disturbances (incl subtypes)
abnormal dreams	Sleep disorders and disturbances
melanosis	Pigmentation disorders
hyperacusis	Hearing disorders
hyperacusis	Cranial nerve disorders (excl neoplasms)
blindness	Neurological disorders of the eye
blindness	Vision disorders
personality disorder	Personality disorders and disturbances in behaviour
aplastic anaemia	Anaemias nonhaemolytic and marrow depression
endocrine disorder	Endocrine and glandular disorders NEC
peripheral ischaemia	Arteriosclerosis, stenosis, vascular insufficiency and necrosis
prostate cancer	Prostatic disorders (excl infections and inflammations)
prostate cancer	Reproductive neoplasms male malignant and unspecified
neuritis	Peripheral neuropathies
pruritus genital	Epidermal and dermal conditions
pruritus genital	Reproductive tract disorders NEC
flat affect	Mood disorders and disturbances NEC
liver disorder	Hepatic and hepatobiliary disorders
infusion site reaction	Administration site reactions
polyuria	Urinary tract signs and symptoms
extravasation	General system disorders NEC
subarachnoid haemorrhage	Injuries NEC
subarachnoid haemorrhage	Central nervous system vascular disorders
subarachnoid haemorrhage	Vascular haemorrhagic disorders
lymphadenopathy	Spleen, lymphatic and reticuloendothelial system disorders
cyanosis	Respiratory disorders NEC
cyanosis	Cardiac disorder signs and symptoms
cyanosis	Vascular disorders NEC
herpes virus infection	Viral infectious disorders
non-cardiac chest pain	Respiratory tract signs and symptoms
non-cardiac chest pain	General system disorders NEC
appendicitis	Gastrointestinal infections
appendicitis	Infections - pathogen unspecified
excoriation	Injuries NEC
excoriation	Epidermal and dermal conditions
erythema multiforme	Epidermal and dermal conditions
erythema multiforme	Allergic conditions
laryngeal pain	Respiratory tract signs and symptoms
hepatic steatosis	Hepatic and hepatobiliary disorders
hepatic steatosis	Lipid metabolism disorders
nephropathy	Nephropathies
corneal opacity	Anterior eye structural change, deposit and degeneration
odynophagia	Oral soft tissue conditions
herpes simplex	Viral infectious disorders
herpes simplex	Skin and subcutaneous tissue infections and infestations
gastrointestinal haemorrhage	Gastrointestinal haemorrhages NEC
gastrointestinal haemorrhage	Vascular haemorrhagic disorders
breath odour	Gastrointestinal signs and symptoms
hepatobiliary disease	Hepatic and hepatobiliary disorders
pseudomembranous colitis	Gastrointestinal infections
pseudomembranous colitis	Bacterial infectious disorders
psychotic disorder	Schizophrenia and other psychotic disorders
eosinophilia	White blood cell disorders
menstrual disorder	Menstrual cycle and uterine bleeding disorders
seborrhoeic keratosis	Cutaneous neoplasms benign
myocardial infarction	Coronary artery disorders
myocardial infarction	Arteriosclerosis, stenosis, vascular insufficiency and necrosis
diarrhoea	Gastrointestinal motility and defaecation conditions
rash pustular	Epidermal and dermal conditions
rash pustular	Infections - pathogen unspecified
electroencephalogram abnormal	Neurological, special senses and psychiatric investigations
acidosis	Acid-base disorders
otitis externa	External ear disorders (excl congenital)
otitis externa	Infections - pathogen unspecified
duodenitis	Gastrointestinal inflammatory conditions
polydipsia	Hypothalamus and pituitary gland disorders
polydipsia	Electrolyte and fluid balance conditions
vaginal infection	Female reproductive tract infections and inflammations
vaginal infection	Infections - pathogen unspecified
respiratory tract infection	Respiratory tract infections
respiratory tract infection	Infections - pathogen unspecified
cyst	Tissue disorders NEC
cyst	Miscellaneous and site unspecified neoplasms benign
pancreatitis	Exocrine pancreas conditions
affective disorder	Mood disorders and disturbances NEC
status epilepticus	Seizures (incl subtypes)
epididymitis	Male reproductive tract infections and inflammations
epididymitis	Infections - pathogen unspecified
schizophreniform disorder	Schizophrenia and other psychotic disorders
intermittent claudication	Arteriosclerosis, stenosis, vascular insufficiency and necrosis
tachycardia	Cardiac arrhythmias
keratitis	Ocular infections, irritations and inflammations
local swelling	General system disorders NEC
skin exfoliation	Epidermal and dermal conditions
mydriasis	Ocular neuromuscular disorders
mydriasis	Neurological disorders NEC
atrial fibrillation	Cardiac arrhythmias
gastrointestinal infection	Gastrointestinal infections
gastrointestinal infection	Infections - pathogen unspecified
peripheral vascular disorder	Vascular disorders NEC
immune system disorder	Immune disorders NEC
palpitations	Cardiac disorder signs and symptoms
dyspnoea	Respiratory disorders NEC
dyspnoea	Cardiac disorder signs and symptoms
hyperlactacidaemia	Acid-base disorders
nystagmus	Ocular neuromuscular disorders
nystagmus	Neurological disorders NEC
hypersensitivity	Allergic conditions
multiple fractures	Bone and joint injuries
multiple fractures	Fractures
menorrhagia	Menstrual cycle and uterine bleeding disorders
adrenal insufficiency	Adrenal gland disorders
adrenal insufficiency	Metabolism disorders NEC
skin infection	Skin and subcutaneous tissue infections and infestations
skin infection	Infections - pathogen unspecified
folliculitis	Skin and subcutaneous tissue infections and infestations
folliculitis	Infections - pathogen unspecified
sinus congestion	Upper respiratory tract disorders (excl infections)
lacrimal disorder	Eye disorders NEC
non-hodgkin's lymphoma	Lymphomas non-Hodgkin's unspecified histology
tendinous contracture	Tendon, ligament and cartilage disorders
renal tubular necrosis	Renal disorders (excl nephropathies)
yawning	Respiratory tract signs and symptoms
blood glucose decreased	Metabolic, nutritional and blood gas investigations
application site rash	Epidermal and dermal conditions
application site rash	Administration site reactions
oral pain	Oral soft tissue conditions
photophobia	Neurological disorders of the eye
photophobia	Ocular sensory symptoms NEC
subdural haematoma	Injuries NEC
subdural haematoma	Central nervous system vascular disorders
subdural haematoma	Vascular haemorrhagic disorders
insomnia	Sleep disturbances (incl subtypes)
insomnia	Sleep disorders and disturbances
myocardial ischaemia	Coronary artery disorders
myocardial ischaemia	Arteriosclerosis, stenosis, vascular insufficiency and necrosis
confusional state	Deliria (incl confusion)
confusional state	Neurological disorders NEC
drug eruption	Epidermal and dermal conditions
drug eruption	General system disorders NEC
drug eruption	Allergic conditions
dysphoria	Mood disorders and disturbances NEC
lipase increased	Gastrointestinal investigations
skin odour abnormal	Epidermal and dermal conditions
hiccups	Respiratory tract signs and symptoms
hiccups	Gastrointestinal signs and symptoms
breast disorder	Breast disorders
metrorrhagia	Menstrual cycle and uterine bleeding disorders
oedema	Electrolyte and fluid balance conditions
oedema	General system disorders NEC
haematocrit decreased	Haematology investigations (incl blood groups)
gastrooesophageal reflux disease	Gastrointestinal motility and defaecation conditions
anaphylactoid reaction	Allergic conditions
anaphylactoid reaction	Decreased and nonspecific blood pressure disorders and shock
renal impairment	Renal disorders (excl nephropathies)
thirst	General system disorders NEC
thirst	Appetite and general nutritional disorders
perineal pain	Reproductive tract disorders NEC
injection site haemorrhage	Vascular haemorrhagic disorders
injection site haemorrhage	Administration site reactions
skin disorder	Epidermal and dermal conditions
cough	Respiratory disorders NEC
platelet count decreased	Haematology investigations (incl blood groups)
ear disorder	Aural disorders NEC
tongue oedema	Tongue conditions
tongue oedema	Angioedema and urticaria
tongue oedema	Allergic conditions
benign neoplasm of skin	Cutaneous neoplasms benign
feeling cold	General system disorders NEC
breast neoplasm	Breast neoplasms malignant and unspecified (incl nipple)
breast neoplasm	Breast disorders
peripheral sensory neuropathy	Peripheral neuropathies
gastroenteritis	Gastrointestinal infections
gastroenteritis	Infections - pathogen unspecified
rash macular	Epidermal and dermal conditions
skin discolouration	Epidermal and dermal conditions
myalgia	Muscle disorders
blood uric acid increased	Metabolic, nutritional and blood gas investigations
injection site erythema	Epidermal and dermal conditions
injection site erythema	Administration site reactions
withdrawal syndrome	Therapeutic and nontherapeutic effects (excl toxicity)
withdrawal syndrome	Psychiatric disorders NEC
conjunctival haemorrhage	Ocular haemorrhages and vascular disorders NEC
conjunctival haemorrhage	Vascular haemorrhagic disorders
gingivitis	Dental and gingival conditions
gingivitis	Infections - pathogen unspecified
anger	Mood disorders and disturbances NEC
breast engorgement	Pregnancy, labour, delivery and postpartum conditions
breast engorgement	Breast disorders
ejaculation delayed	Sexual function and fertility disorders
pulmonary congestion	Vascular disorders NEC
pulmonary congestion	Heart failures
pulmonary congestion	Lower respiratory tract disorders (excl obstruction and infection)
neutropenia	White blood cell disorders
abdominal distension	Gastrointestinal signs and symptoms
fracture	Bone and joint injuries
fracture	Fractures
gangrene	Bacterial infectious disorders
gangrene	Skin vascular abnormalities
gangrene	Arteriosclerosis, stenosis, vascular insufficiency and necrosis
viral upper respiratory tract infection	Viral infectious disorders
viral upper respiratory tract infection	Respiratory tract infections
pain	General system disorders NEC
salpingitis	Female reproductive tract infections and inflammations
salpingitis	Infections - pathogen unspecified
musculoskeletal chest pain	Musculoskeletal and connective tissue disorders NEC
musculoskeletal chest pain	Thoracic disorders (excl lung and pleura)
bursitis	Synovial and bursal disorders
bursitis	Bone and joint injuries
urinary retention	Urinary tract signs and symptoms
hypoventilation	Respiratory disorders NEC
alanine aminotransferase increased	Hepatobiliary investigations
lichenoid keratosis	Cornification and dystrophic skin disorders
parkinsonism	Movement disorders (incl parkinsonism)
weight increased	Physical examination and organ system status topics
pleural effusion	Pleural disorders
feeling drunk	General system disorders NEC
mediastinal disorder	Thoracic disorders (excl lung and pleura)
haemolytic anaemia	Haemolyses and related conditions
intracranial pressure increased	Increased intracranial pressure and hydrocephalus
respiratory tract congestion	Respiratory disorders NEC
tinnitus	Inner ear and VIIIth cranial nerve disorders
tinnitus	Cranial nerve disorders (excl neoplasms)
rectal tenesmus	Muscle disorders
rectal tenesmus	Anal and rectal conditions NEC
hepatic cancer	Hepatobiliary neoplasms
hepatic cancer	Hepatobiliary neoplasms malignant and unspecified
gout	Joint disorders
gout	Purine and pyrimidine metabolism disorders
lethargy	Mood disorders and disturbances NEC
lethargy	General system disorders NEC
lethargy	Neurological disorders NEC
aplasia pure red cell	Anaemias nonhaemolytic and marrow depression
aplasia pure red cell	Immune disorders NEC
diabetes mellitus	Glucose metabolism disorders (incl diabetes mellitus)
anal pruritus	Anal and rectal conditions NEC
ketosis	Acid-base disorders
impetigo	Skin and subcutaneous tissue infections and infestations
impetigo	Infections - pathogen unspecified
instillation site pain	Administration site reactions
sialoadenitis	Salivary gland conditions
sialoadenitis	Infections - pathogen unspecified
blood cholesterol increased	Lipid analyses
arthropathy	Joint disorders
hyperaemia	Vascular disorders NEC
pain in jaw	Bone disorders (excl congenital and fractures)
diverticulitis	Infections - pathogen unspecified
diverticulitis	Diverticular disorders
coma	Neurological disorders NEC
mental disability	Lifestyle issues
joint swelling	Joint disorders
lacrimation increased	Eye disorders NEC
application site burn	Epidermal and dermal conditions
application site burn	Administration site reactions
vasospasm	Arteriosclerosis, stenosis, vascular insufficiency and necrosis
transaminases increased	Hepatobiliary investigations
uterine spasm	Uterine, pelvic and broad ligament disorders
blepharospasm	Neurological disorders of the eye
blepharospasm	Ocular neuromuscular disorders
pharyngitis streptococcal	Bacterial infectious disorders
pharyngitis streptococcal	Respiratory tract infections
hepatotoxicity	Hepatic and hepatobiliary disorders
hepatotoxicity	Exposures, chemical injuries and poisoning
ligament sprain	Injuries NEC
ligament sprain	Tendon, ligament and cartilage disorders
haemolytic uraemic syndrome	Renal disorders (excl nephropathies)
haemolytic uraemic syndrome	Haemolyses and related conditions
hyperlipidaemia	Lipid metabolism disorders
hepatomegaly	Hepatic and hepatobiliary disorders
blood disorder	Haematological disorders NEC
sleep disorder	Sleep disorders and disturbances
wheezing	Bronchial disorders (excl neoplasms)
ovarian cyst	Reproductive neoplasms female benign
ovarian cyst	Ovarian and fallopian tube disorders
cardiac output decreased	Cardiac and vascular investigations (excl enzyme tests)
agranulocytosis	White blood cell disorders
hyperkinesia	Movement disorders (incl parkinsonism)
cystitis	Bladder and bladder neck disorders (excl calculi)
cystitis	Infections - pathogen unspecified
hypertrichosis	Skin appendage conditions
enteritis	Gastrointestinal inflammatory conditions
splenomegaly	Spleen, lymphatic and reticuloendothelial system disorders
pericarditis	Pericardial disorders
lactic acidosis	Acid-base disorders
increased appetite	General system disorders NEC
increased appetite	Appetite and general nutritional disorders
muscle tightness	Muscle disorders
toothache	Dental and gingival conditions
ear pain	Aural disorders NEC
respiratory distress	Respiratory disorders NEC
laceration	Injuries NEC
laceration	Epidermal and dermal conditions
bladder cancer	Renal and urinary tract neoplasms malignant and unspecified
bladder cancer	Bladder and bladder neck disorders (excl calculi)
hepatic function abnormal	Hepatic and hepatobiliary disorders
ocular discomfort	Eye disorders NEC
delirium	Deliria (incl confusion)
menstruation irregular	Endocrine disorders of gonadal function
menstruation irregular	Menstrual cycle and uterine bleeding disorders
impaired healing	Tissue disorders NEC
nocturia	Urinary tract signs and symptoms
ototoxicity	Exposures, chemical injuries and poisoning
ototoxicity	Aural disorders NEC
eye oedema	Eye disorders NEC
dehydration	Electrolyte and fluid balance conditions
dermatitis acneiform	Skin appendage conditions
sexual dysfunction	Sexual function and fertility disorders
sexual dysfunction	Sexual dysfunctions, disturbances and gender identity disorders
dermatitis bullous	Epidermal and dermal conditions
rhonchi	Respiratory tract signs and symptoms
phlebitis	Vascular inflammations
phlebitis	Procedural related injuries and complications NEC
cold sweat	Skin appendage conditions
cold sweat	General system disorders NEC
injection site induration	Administration site reactions
haematuria	Urinary tract signs and symptoms
haematuria	Vascular haemorrhagic disorders
haematuria	Reproductive tract disorders NEC
thyroiditis	Thyroid gland disorders
infusion site pain	Administration site reactions
application site pain	Administration site reactions
glossodynia	Tongue conditions
amblyopia	Vision disorders
albuminuria	Urinary tract signs and symptoms
neuralgia	Neurological disorders NEC
cachexia	General system disorders NEC
cachexia	Neoplasm related morbidities
cachexia	Appetite and general nutritional disorders
snoring	Respiratory tract signs and symptoms
oesophageal stenosis	Gastrointestinal stenosis and obstruction
vestibular disorder	Inner ear and VIIIth cranial nerve disorders
vestibular disorder	Neurological disorders NEC
pelvic pain	Urinary tract signs and symptoms
pelvic pain	Gastrointestinal signs and symptoms
pelvic pain	Reproductive tract disorders NEC
hepatitis	Hepatic and hepatobiliary disorders
priapism	Sexual function and fertility disorders
rales	Respiratory tract signs and symptoms
