GenericDrugName	SideeffectTerm	Source
telithromycin	mental disorder	SIDER
telithromycin	hypoproteinaemia	OFFSIDES
telithromycin	peritonitis	OFFSIDES
telithromycin	flank pain	OFFSIDES
telithromycin	hypoalbuminaemia	OFFSIDES
telithromycin	atelectasis	OFFSIDES
telithromycin	abdominal pain upper	OFFSIDES
telithromycin	extrasystoles	OFFSIDES
telithromycin	osteomyelitis	OFFSIDES
telithromycin	pyelonephritis	OFFSIDES
telithromycin	cardiac flutter	OFFSIDES
telithromycin	cerebral ischaemia	OFFSIDES
telithromycin	oliguria	OFFSIDES
telithromycin	anaphylactic shock	SIDER
telithromycin	atrial flutter	OFFSIDES
telithromycin	arrhythmia	OFFSIDES
telithromycin	body temperature increased	OFFSIDES
telithromycin	cardiogenic shock	OFFSIDES
telithromycin	breast discharge	OFFSIDES
telithromycin	nuchal rigidity	OFFSIDES
telithromycin	optic neuritis	OFFSIDES
telithromycin	blood urine present	OFFSIDES
telithromycin	abdominal discomfort	OFFSIDES
telithromycin	eczema	OFFSIDES
telithromycin	hepatic failure	SIDER
telithromycin	hepatic necrosis	SIDER
telithromycin	gamma-glutamyltransferase increased	OFFSIDES
telithromycin	accommodation disorder	OFFSIDES
telithromycin	muscle spasms	SIDER
telithromycin	influenza like illness	OFFSIDES
telithromycin	intestinal perforation	OFFSIDES
telithromycin	face oedema	SIDER
telithromycin	acne	OFFSIDES
telithromycin	respiratory disorder	OFFSIDES
telithromycin	serum sickness	OFFSIDES
telithromycin	azotaemia	OFFSIDES
telithromycin	fatigue	OFFSIDES
telithromycin	arthralgia	SIDER
telithromycin	arrhythmia supraventricular	SIDER
telithromycin	dysaesthesia	OFFSIDES
telithromycin	hypokalaemia	OFFSIDES
telithromycin	anaemia	OFFSIDES
telithromycin	road traffic accident	OFFSIDES
telithromycin	cholecystitis	OFFSIDES
telithromycin	respiratory failure	OFFSIDES
telithromycin	angioedema	SIDER
telithromycin	septic shock	OFFSIDES
telithromycin	eye pain	OFFSIDES
telithromycin	anorectal discomfort	OFFSIDES
telithromycin	faeces discoloured	OFFSIDES
telithromycin	dysuria	OFFSIDES
telithromycin	erythema nodosum	OFFSIDES
telithromycin	micturition urgency	OFFSIDES
telithromycin	iritis	OFFSIDES
telithromycin	blood urea increased	OFFSIDES
telithromycin	bacterial infection	OFFSIDES
telithromycin	blood albumin decreased	OFFSIDES
telithromycin	iron deficiency anaemia	OFFSIDES
telithromycin	skin lesion	OFFSIDES
telithromycin	acute respiratory distress syndrome	OFFSIDES
telithromycin	proctalgia	OFFSIDES
telithromycin	ischaemia	OFFSIDES
pentamidine isethionate	blood bilirubin increased	OFFSIDES
pentamidine isethionate	blood lactate dehydrogenase increased	OFFSIDES
pentamidine isethionate	hypomagnesaemia	OFFSIDES
pentamidine isethionate	ascites	OFFSIDES
pentamidine isethionate	neutrophil count decreased	OFFSIDES
pentamidine isethionate	torsade de pointes	OFFSIDES
pentamidine isethionate	dry skin	OFFSIDES
pentamidine isethionate	nasal congestion	OFFSIDES
pentamidine isethionate	emphysema	OFFSIDES
pentamidine isethionate	bacteraemia	OFFSIDES
pentamidine isethionate	prothrombin level decreased	OFFSIDES
pentamidine isethionate	colitis	OFFSIDES
pentamidine isethionate	bronchitis	OFFSIDES
pentamidine isethionate	coordination abnormal	OFFSIDES
pentamidine isethionate	haematemesis	OFFSIDES
pentamidine isethionate	electrocardiogram st segment depression	OFFSIDES
pentamidine isethionate	nasopharyngitis	OFFSIDES
pentamidine isethionate	balance disorder	OFFSIDES
pentamidine isethionate	herpes zoster	OFFSIDES
pentamidine isethionate	sinusitis	OFFSIDES
pentamidine isethionate	flatulence	OFFSIDES
pentamidine isethionate	rhinitis	OFFSIDES
pentamidine isethionate	hepatocellular injury	OFFSIDES
pentamidine isethionate	musculoskeletal stiffness	OFFSIDES
pentamidine isethionate	cardiac failure	OFFSIDES
pentamidine isethionate	cyanosis	OFFSIDES
pentamidine isethionate	appendicitis	OFFSIDES
pentamidine isethionate	herpes simplex	OFFSIDES
pentamidine isethionate	acidosis	OFFSIDES
pentamidine isethionate	pancreatitis	OFFSIDES
pentamidine isethionate	adrenal insufficiency	OFFSIDES
pentamidine isethionate	tendinous contracture	OFFSIDES
pentamidine isethionate	skin odour abnormal	OFFSIDES
pentamidine isethionate	feeling cold	OFFSIDES
pentamidine isethionate	peripheral sensory neuropathy	OFFSIDES
pentamidine isethionate	gastroenteritis	OFFSIDES
pentamidine isethionate	abdominal distension	OFFSIDES
pentamidine isethionate	pain	OFFSIDES
pentamidine isethionate	alanine aminotransferase increased	OFFSIDES
pentamidine isethionate	pleural effusion	OFFSIDES
pentamidine isethionate	aplasia pure red cell	OFFSIDES
pentamidine isethionate	impetigo	OFFSIDES
pentamidine isethionate	hepatotoxicity	OFFSIDES
pentamidine isethionate	hypertrichosis	OFFSIDES
pentamidine isethionate	pericarditis	OFFSIDES
pentamidine isethionate	dehydration	OFFSIDES
pentamidine isethionate	hepatitis	OFFSIDES
pentamidine isethionate	rales	OFFSIDES
pentamidine isethionate	blood alkaline phosphatase increased	OFFSIDES
pentamidine isethionate	apathy	OFFSIDES
pentamidine isethionate	blood triglycerides increased	OFFSIDES
pentamidine isethionate	bradycardia	OFFSIDES
pentamidine isethionate	pneumothorax	OFFSIDES
pentamidine isethionate	gastric ulcer	OFFSIDES
pentamidine isethionate	neuropathy peripheral	OFFSIDES
pentamidine isethionate	ear infection	OFFSIDES
pentamidine isethionate	mucosal inflammation	OFFSIDES
pentamidine isethionate	breast discharge	OFFSIDES
pentamidine isethionate	hypoaesthesia	OFFSIDES
pentamidine isethionate	optic neuritis	OFFSIDES
pentamidine isethionate	myelitis	OFFSIDES
pentamidine isethionate	tubulointerstitial nephritis	OFFSIDES
pentamidine isethionate	enuresis	OFFSIDES
pentamidine isethionate	fluid overload	OFFSIDES
pentamidine isethionate	deafness	OFFSIDES
pentamidine isethionate	impaired gastric emptying	OFFSIDES
pentamidine isethionate	lipodystrophy acquired	OFFSIDES
pentamidine isethionate	gamma-glutamyltransferase increased	OFFSIDES
pentamidine isethionate	night blindness	OFFSIDES
pentamidine isethionate	nausea	OFFSIDES
pentamidine isethionate	bleeding time prolonged	OFFSIDES
pentamidine isethionate	polyneuropathy	OFFSIDES
pentamidine isethionate	serum sickness	OFFSIDES
pentamidine isethionate	pericardial effusion	OFFSIDES
pentamidine isethionate	dysaesthesia	OFFSIDES
pentamidine isethionate	hypokalaemia	OFFSIDES
pentamidine isethionate	anaemia	OFFSIDES
pentamidine isethionate	alopecia	OFFSIDES
pentamidine isethionate	urine abnormality	OFFSIDES
pentamidine isethionate	skin hypertrophy	OFFSIDES
pentamidine isethionate	staphylococcal infection	OFFSIDES
pentamidine isethionate	respiratory failure	OFFSIDES
pentamidine isethionate	abdominal pain	OFFSIDES
pentamidine isethionate	septic shock	OFFSIDES
pentamidine isethionate	musculoskeletal discomfort	OFFSIDES
pentamidine isethionate	electrocardiogram qt prolonged	OFFSIDES
pentamidine isethionate	gynaecomastia	OFFSIDES
pentamidine isethionate	conjunctival hyperaemia	OFFSIDES
pentamidine isethionate	acute respiratory distress syndrome	OFFSIDES
lamivudine	aggression	OFFSIDES
lamivudine	mania	OFFSIDES
lamivudine	blood bilirubin increased	OFFSIDES
lamivudine	blood lactate dehydrogenase increased	OFFSIDES
lamivudine	candida infection	OFFSIDES
lamivudine	chromaturia	OFFSIDES
lamivudine	ascites	OFFSIDES
lamivudine	neutrophil count decreased	OFFSIDES
lamivudine	torsade de pointes	OFFSIDES
lamivudine	encephalopathy	OFFSIDES
lamivudine	cerebral haemorrhage	OFFSIDES
lamivudine	hypophosphataemia	OFFSIDES
lamivudine	urine analysis abnormal	OFFSIDES
lamivudine	lymphoma	OFFSIDES
lamivudine	scab	OFFSIDES
lamivudine	urticaria	SIDER
lamivudine	appendicitis	OFFSIDES
lamivudine	erythema multiforme	OFFSIDES
lamivudine	hepatic steatosis	SIDER
lamivudine	acidosis	OFFSIDES
lamivudine	epididymitis	OFFSIDES
lamivudine	hypersensitivity	SIDER
lamivudine	non-hodgkin's lymphoma	OFFSIDES
lamivudine	renal impairment	OFFSIDES
lamivudine	feeling cold	OFFSIDES
lamivudine	gastroenteritis	OFFSIDES
lamivudine	anger	OFFSIDES
lamivudine	alanine aminotransferase increased	OFFSIDES
lamivudine	transaminases increased	OFFSIDES
lamivudine	hepatotoxicity	OFFSIDES
lamivudine	blood disorder	OFFSIDES
lamivudine	pericarditis	OFFSIDES
lamivudine	hepatic function abnormal	OFFSIDES
lamivudine	hepatitis	SIDER
lamivudine	metabolic acidosis	OFFSIDES
lamivudine	blood alkaline phosphatase increased	OFFSIDES
lamivudine	skin striae	OFFSIDES
lamivudine	osteoporosis	OFFSIDES
lamivudine	blood triglycerides increased	OFFSIDES
lamivudine	blood phosphorus decreased	OFFSIDES
lamivudine	sensory disturbance	OFFSIDES
lamivudine	bradycardia	OFFSIDES
lamivudine	hypoalbuminaemia	OFFSIDES
lamivudine	febrile neutropenia	OFFSIDES
lamivudine	gastric ulcer	OFFSIDES
lamivudine	anaphylactic shock	SIDER
lamivudine	sinus bradycardia	OFFSIDES
lamivudine	gastrointestinal disorder	OFFSIDES
lamivudine	arrhythmia	OFFSIDES
lamivudine	paranoia	OFFSIDES
lamivudine	hypoaesthesia	OFFSIDES
lamivudine	depressed mood	OFFSIDES
lamivudine	hepatic failure	OFFSIDES
lamivudine	tubulointerstitial nephritis	OFFSIDES
lamivudine	muscular weakness	SIDER
lamivudine	rash generalised	OFFSIDES
lamivudine	lipodystrophy acquired	OFFSIDES
lamivudine	gamma-glutamyltransferase increased	OFFSIDES
lamivudine	cushing's syndrome	OFFSIDES
lamivudine	influenza like illness	OFFSIDES
lamivudine	nephrotic syndrome	OFFSIDES
lamivudine	hyperglycaemia	SIDER
lamivudine	blood potassium decreased	OFFSIDES
lamivudine	hypokalaemia	OFFSIDES
lamivudine	emotional disorder	OFFSIDES
lamivudine	menopausal symptoms	OFFSIDES
lamivudine	cholecystitis	OFFSIDES
lamivudine	respiratory failure	OFFSIDES
lamivudine	septic shock	OFFSIDES
lamivudine	dysuria	OFFSIDES
lamivudine	ataxia	OFFSIDES
lamivudine	productive cough	OFFSIDES
atorvastatin	blood bilirubin increased	OFFSIDES
atorvastatin	periodontitis	OFFSIDES
atorvastatin	atrioventricular block complete	OFFSIDES
atorvastatin	bipolar disorder	OFFSIDES
atorvastatin	haemorrhoids	OFFSIDES
atorvastatin	ventricular fibrillation	OFFSIDES
atorvastatin	breast pain	OFFSIDES
atorvastatin	arthritis	OFFSIDES
atorvastatin	nodule	OFFSIDES
atorvastatin	dry skin	OFFSIDES
atorvastatin	basal cell carcinoma	OFFSIDES
atorvastatin	nephrolithiasis	OFFSIDES
atorvastatin	emphysema	OFFSIDES
atorvastatin	feeling abnormal	SIDER
atorvastatin	pain of skin	OFFSIDES
atorvastatin	osteoarthritis	OFFSIDES
atorvastatin	anxiety	OFFSIDES
atorvastatin	chest pain	SIDER
atorvastatin	encephalopathy	OFFSIDES
atorvastatin	electrocardiogram st segment depression	OFFSIDES
atorvastatin	blood creatine phosphokinase increased	OFFSIDES
atorvastatin	rhabdomyolysis	SIDER
atorvastatin	blood creatinine increased	OFFSIDES
atorvastatin	hypophosphataemia	OFFSIDES
atorvastatin	balance disorder	OFFSIDES
atorvastatin	stevens-johnson syndrome	SIDER
atorvastatin	pollakiuria	OFFSIDES
atorvastatin	malnutrition	SIDER
atorvastatin	musculoskeletal stiffness	OFFSIDES
atorvastatin	cardiomyopathy	OFFSIDES
atorvastatin	polyuria	OFFSIDES
atorvastatin	non-cardiac chest pain	OFFSIDES
atorvastatin	excoriation	OFFSIDES
atorvastatin	hepatobiliary disease	SIDER
atorvastatin	cyst	OFFSIDES
atorvastatin	pancreatitis	SIDER
atorvastatin	adrenal insufficiency	OFFSIDES
atorvastatin	non-hodgkin's lymphoma	OFFSIDES
atorvastatin	renal tubular necrosis	OFFSIDES
atorvastatin	blood glucose decreased	OFFSIDES
atorvastatin	confusional state	SIDER
atorvastatin	breast disorder	SIDER
atorvastatin	gastroenteritis	OFFSIDES
atorvastatin	skin discolouration	OFFSIDES
atorvastatin	viral upper respiratory tract infection	OFFSIDES
atorvastatin	pain	OFFSIDES
atorvastatin	musculoskeletal chest pain	OFFSIDES
atorvastatin	bursitis	OFFSIDES
atorvastatin	weight increased	SIDER
atorvastatin	pleural effusion	OFFSIDES
atorvastatin	gout	OFFSIDES
atorvastatin	lethargy	OFFSIDES
atorvastatin	aplasia pure red cell	OFFSIDES
atorvastatin	arthropathy	OFFSIDES
atorvastatin	diverticulitis	OFFSIDES
atorvastatin	ligament sprain	OFFSIDES
atorvastatin	muscle tightness	OFFSIDES
atorvastatin	laceration	OFFSIDES
atorvastatin	dehydration	OFFSIDES
atorvastatin	snoring	OFFSIDES
atorvastatin	hepatitis	OFFSIDES
atorvastatin	haemorrhage intracranial	OFFSIDES
atorvastatin	breast cancer	OFFSIDES
atorvastatin	blood alkaline phosphatase increased	OFFSIDES
atorvastatin	dysgeusia	SIDER
atorvastatin	hernia	OFFSIDES
atorvastatin	osteoporosis	OFFSIDES
atorvastatin	lung infiltration	OFFSIDES
atorvastatin	blood triglycerides increased	OFFSIDES
atorvastatin	flank pain	OFFSIDES
atorvastatin	atelectasis	OFFSIDES
atorvastatin	pyelonephritis	OFFSIDES
atorvastatin	cerebral ischaemia	OFFSIDES
atorvastatin	anaphylactic shock	SIDER
atorvastatin	sinus bradycardia	OFFSIDES
atorvastatin	neuropathy peripheral	SIDER
atorvastatin	mucosal inflammation	OFFSIDES
atorvastatin	gastrointestinal disorder	OFFSIDES
atorvastatin	arrhythmia	SIDER
atorvastatin	angiopathy	OFFSIDES
atorvastatin	dizziness	SIDER
atorvastatin	thrombocytopenia	SIDER
atorvastatin	hypoaesthesia	SIDER
atorvastatin	asthma	OFFSIDES
atorvastatin	hyperphosphataemia	OFFSIDES
atorvastatin	sensory loss	OFFSIDES
atorvastatin	hepatic failure	SIDER
atorvastatin	tubulointerstitial nephritis	OFFSIDES
atorvastatin	muscular weakness	SIDER
atorvastatin	breast enlargement	OFFSIDES
atorvastatin	fluid overload	OFFSIDES
atorvastatin	acute myocardial infarction	OFFSIDES
atorvastatin	hair colour changes	OFFSIDES
atorvastatin	glaucoma	OFFSIDES
atorvastatin	toxic epidermal necrolysis	SIDER
atorvastatin	procedural pain	OFFSIDES
atorvastatin	bone disorder	OFFSIDES
atorvastatin	drug hypersensitivity	OFFSIDES
atorvastatin	accommodation disorder	OFFSIDES
atorvastatin	nausea	OFFSIDES
atorvastatin	cognitive disorder	SIDER
atorvastatin	polyneuropathy	OFFSIDES
atorvastatin	respiratory disorder	OFFSIDES
atorvastatin	azotaemia	OFFSIDES
atorvastatin	fatigue	SIDER
atorvastatin	arrhythmia supraventricular	OFFSIDES
atorvastatin	haematoma	OFFSIDES
atorvastatin	cardiac murmur	OFFSIDES
atorvastatin	interstitial lung disease	SIDER
atorvastatin	hypokalaemia	OFFSIDES
atorvastatin	anaemia	OFFSIDES
atorvastatin	urine abnormality	OFFSIDES
atorvastatin	breath sounds abnormal	OFFSIDES
atorvastatin	menopausal symptoms	OFFSIDES
atorvastatin	skin hypertrophy	OFFSIDES
atorvastatin	road traffic accident	OFFSIDES
atorvastatin	respiratory failure	OFFSIDES
atorvastatin	dyspepsia	OFFSIDES
atorvastatin	angioedema	SIDER
atorvastatin	dysuria	OFFSIDES
atorvastatin	oedema peripheral	SIDER
atorvastatin	gingival pain	OFFSIDES
atorvastatin	blood urea increased	OFFSIDES
atorvastatin	erectile dysfunction	OFFSIDES
atorvastatin	bacterial infection	OFFSIDES
atorvastatin	electrocardiogram qt prolonged	OFFSIDES
atorvastatin	gynaecomastia	SIDER
atorvastatin	skin lesion	OFFSIDES
atorvastatin	vulvovaginal candidiasis	OFFSIDES
levetiracetam	blood bilirubin increased	OFFSIDES
levetiracetam	chromaturia	OFFSIDES
levetiracetam	leukopenia	SIDER
levetiracetam	breast pain	OFFSIDES
levetiracetam	ascites	OFFSIDES
levetiracetam	neutrophil count decreased	OFFSIDES
levetiracetam	torsade de pointes	OFFSIDES
levetiracetam	nodule	OFFSIDES
levetiracetam	hyponatraemia	SIDER
levetiracetam	choreoathetosis	SIDER
levetiracetam	emphysema	OFFSIDES
levetiracetam	dyskinesia	SIDER
levetiracetam	hallucination	SIDER
levetiracetam	cerebral haemorrhage	OFFSIDES
levetiracetam	clostridium difficile colitis	OFFSIDES
levetiracetam	stevens-johnson syndrome	SIDER
levetiracetam	flatulence	OFFSIDES
levetiracetam	malnutrition	SIDER
levetiracetam	incontinence	OFFSIDES
levetiracetam	musculoskeletal stiffness	OFFSIDES
levetiracetam	herpes virus infection	OFFSIDES
levetiracetam	eosinophilia	SIDER
levetiracetam	pancreatitis	SIDER
levetiracetam	affective disorder	OFFSIDES
levetiracetam	status epilepticus	OFFSIDES
levetiracetam	schizophreniform disorder	OFFSIDES
levetiracetam	tendinous contracture	OFFSIDES
levetiracetam	renal tubular necrosis	OFFSIDES
levetiracetam	peripheral sensory neuropathy	OFFSIDES
levetiracetam	anger	SIDER
levetiracetam	neutropenia	SIDER
levetiracetam	pleural effusion	OFFSIDES
levetiracetam	arthropathy	OFFSIDES
levetiracetam	blepharospasm	OFFSIDES
levetiracetam	blood disorder	SIDER
levetiracetam	agranulocytosis	SIDER
levetiracetam	laceration	OFFSIDES
levetiracetam	neuralgia	OFFSIDES
levetiracetam	hepatitis	SIDER
levetiracetam	pancytopenia	SIDER
levetiracetam	haemorrhage intracranial	OFFSIDES
levetiracetam	blood alkaline phosphatase increased	OFFSIDES
levetiracetam	skin striae	OFFSIDES
levetiracetam	osteoporosis	OFFSIDES
levetiracetam	weight decreased	SIDER
levetiracetam	lymphocytosis	OFFSIDES
levetiracetam	mental disorder	SIDER
levetiracetam	peritonitis	OFFSIDES
levetiracetam	bradycardia	OFFSIDES
levetiracetam	hypoalbuminaemia	OFFSIDES
levetiracetam	pneumothorax	OFFSIDES
levetiracetam	cerebral ischaemia	OFFSIDES
levetiracetam	neuropathy peripheral	OFFSIDES
levetiracetam	nephropathy toxic	OFFSIDES
levetiracetam	migraine	OFFSIDES
levetiracetam	hepatic failure	SIDER
levetiracetam	tubulointerstitial nephritis	OFFSIDES
levetiracetam	muscular weakness	SIDER
levetiracetam	fluid overload	OFFSIDES
levetiracetam	hypermagnesaemia	OFFSIDES
levetiracetam	urine output increased	OFFSIDES
levetiracetam	toxic epidermal necrolysis	SIDER
levetiracetam	suicide attempt	SIDER
levetiracetam	nervous system disorder	SIDER
levetiracetam	gamma-glutamyltransferase increased	OFFSIDES
levetiracetam	dysphonia	OFFSIDES
levetiracetam	drug hypersensitivity	OFFSIDES
levetiracetam	accommodation disorder	OFFSIDES
levetiracetam	polyneuropathy	OFFSIDES
levetiracetam	respiratory disorder	OFFSIDES
levetiracetam	pericardial effusion	OFFSIDES
levetiracetam	lymphocyte count decreased	OFFSIDES
levetiracetam	cardiac murmur	OFFSIDES
levetiracetam	blood potassium decreased	OFFSIDES
levetiracetam	anaemia	OFFSIDES
levetiracetam	alopecia	SIDER
levetiracetam	skin hypertrophy	OFFSIDES
levetiracetam	drug ineffective	OFFSIDES
levetiracetam	abdominal pain	OFFSIDES
levetiracetam	septic shock	OFFSIDES
levetiracetam	dysuria	OFFSIDES
levetiracetam	oral herpes	OFFSIDES
levetiracetam	catheter site pain	OFFSIDES
levetiracetam	suicidal ideation	SIDER
levetiracetam	panic attack	SIDER
levetiracetam	skin lesion	OFFSIDES
azelaic acid	asthenia	OFFSIDES
azelaic acid	chromaturia	OFFSIDES
azelaic acid	hypomagnesaemia	OFFSIDES
azelaic acid	nasal congestion	OFFSIDES
azelaic acid	burning sensation	OFFSIDES
azelaic acid	anxiety	OFFSIDES
azelaic acid	application site irritation	OFFSIDES
azelaic acid	diplopia	OFFSIDES
azelaic acid	cardiac failure	OFFSIDES
azelaic acid	application site rash	OFFSIDES
azelaic acid	bursitis	OFFSIDES
azelaic acid	application site pain	OFFSIDES
azelaic acid	neuralgia	OFFSIDES
azelaic acid	hepatitis	OFFSIDES
azelaic acid	hyperhidrosis	OFFSIDES
azelaic acid	nasal discomfort	OFFSIDES
azelaic acid	application site dryness	OFFSIDES
azelaic acid	abdominal pain upper	OFFSIDES
azelaic acid	body temperature increased	OFFSIDES
azelaic acid	abdominal discomfort	OFFSIDES
azelaic acid	hepatic necrosis	OFFSIDES
azelaic acid	bruxism	OFFSIDES
azelaic acid	nausea	OFFSIDES
azelaic acid	hypertonia	OFFSIDES
azelaic acid	fatigue	OFFSIDES
azelaic acid	abdominal pain	OFFSIDES
azelaic acid	eye pain	OFFSIDES
azelaic acid	oral herpes	OFFSIDES
azelaic acid	libido increased	OFFSIDES
azelaic acid	musculoskeletal discomfort	OFFSIDES
azelastine	transient ischaemic attack	OFFSIDES
azelastine	periodontitis	OFFSIDES
azelastine	candida infection	OFFSIDES
azelastine	miosis	OFFSIDES
azelastine	polycythaemia	OFFSIDES
azelastine	haemorrhoids	OFFSIDES
azelastine	chromaturia	OFFSIDES
azelastine	arthritis	OFFSIDES
azelastine	hyperkeratosis	OFFSIDES
azelastine	hyporeflexia	OFFSIDES
azelastine	basal cell carcinoma	OFFSIDES
azelastine	paraesthesia	SIDER
azelastine	nasal congestion	OFFSIDES
azelastine	emphysema	OFFSIDES
azelastine	bacteraemia	OFFSIDES
azelastine	feeling abnormal	SIDER
azelastine	osteoarthritis	OFFSIDES
azelastine	colitis	OFFSIDES
azelastine	anxiety	OFFSIDES
azelastine	bronchitis	OFFSIDES
azelastine	application site irritation	SIDER
azelastine	dry eye	OFFSIDES
azelastine	dermatitis	SIDER
azelastine	chest pain	SIDER
azelastine	lung infection	OFFSIDES
azelastine	asthenopia	OFFSIDES
azelastine	urine analysis abnormal	OFFSIDES
azelastine	balance disorder	OFFSIDES
azelastine	erythema	OFFSIDES
azelastine	glossitis	OFFSIDES
azelastine	abscess	OFFSIDES
azelastine	parosmia	SIDER
azelastine	colitis ischaemic	OFFSIDES
azelastine	brain oedema	OFFSIDES
azelastine	diplopia	OFFSIDES
azelastine	incontinence	OFFSIDES
azelastine	cardiomyopathy	OFFSIDES
azelastine	abnormal dreams	OFFSIDES
azelastine	polyuria	OFFSIDES
azelastine	cyanosis	OFFSIDES
azelastine	cyst	OFFSIDES
azelastine	pancreatitis	OFFSIDES
azelastine	intermittent claudication	OFFSIDES
azelastine	tachycardia	SIDER
azelastine	atrial fibrillation	SIDER
azelastine	immune system disorder	OFFSIDES
azelastine	palpitations	SIDER
azelastine	dyspnoea	SIDER
azelastine	confusional state	SIDER
azelastine	anaphylactoid reaction	SIDER
azelastine	cough	OFFSIDES
azelastine	ear disorder	OFFSIDES
azelastine	gastroenteritis	OFFSIDES
azelastine	injection site erythema	OFFSIDES
azelastine	withdrawal syndrome	OFFSIDES
azelastine	anger	OFFSIDES
azelastine	pulmonary congestion	OFFSIDES
azelastine	pain	OFFSIDES
azelastine	bursitis	OFFSIDES
azelastine	urinary retention	SIDER
azelastine	pleural effusion	OFFSIDES
azelastine	tinnitus	OFFSIDES
